county,hpsa_score,underserved_pop,provider_fte,capacity_index,capacity_z,risk_score,risk_z,intervention_priority,category
"Abbeville County, SC",4.285714285714286,156101.0,33.827799999999996,-4.285714285714286,1.12636192394114,0.4967141530112327,0.4788721849237345,-0.6474897390174055,Moderate
"Acadia Parish, LA",12.5,85978.0,24.917299999999997,-12.5,-0.449980253386228,-0.13826430117118466,-0.16344744152091636,0.28653281186531165,Moderate
"Accomack County, VA",14.75,107160.0,25.5863,-14.75,-0.8817609367411158,0.6476885381006925,0.6315920291871653,1.5133529659282812,High Priority
"Ada County, ID",8.6,122799.0,1.9000000000000001,-8.6,0.2984395977622442,1.5230298564080254,1.5170534253705557,1.2186138276083114,Moderate
"Adair County, IA",1.0476190476190477,76707.0,4.3,-1.0476190476190477,1.7477605793513489,-0.23415337472333597,-0.26044511679392246,-2.0082056961452714,Moderate
"Adair County, KY",14.666666666666666,77640.0,4.638,-14.666666666666666,-0.8657690595798235,-0.23413695694918055,-0.26042850920906174,0.6053405503707618,Moderate
"Adair County, MO",18.333333333333332,195689.0,0.9886,-18.333333333333332,-1.5694116546766776,1.5792128155073915,1.5738859321486403,3.1432975868253177,High Priority
"Adair County, OK",13.25,66863.0,5.2248,-13.25,-0.5939071478378573,0.7674347291529088,0.7527226410972396,1.3466297889350969,High Priority
"Adams County, CO",13.597402597402597,4149348.0,476.71320000000003,-13.597402597402597,-0.6605745837959712,-0.4694743859349521,-0.4984867432781494,0.16208784051782182,Moderate
"Adams County, IA",11.5,17862.0,0.6,-11.5,-0.2580777274507223,0.5425600435859647,0.5252481132942497,0.783325840744972,Moderate
"Adams County, ID",9.75,12375.0,2.0496,-9.75,0.07775169293641261,-0.46341769281246226,-0.4923600269489526,-0.5701117198853652,Moderate
"Adams County, IL",15.714285714285714,222980.0,3.8202,-15.714285714285714,-1.0668098010360676,-0.46572975357025687,-0.4946988181197115,0.5721109829163561,Moderate
"Adams County, IN",14.4,316497.0,7.75,-14.4,-0.8145950526636888,0.24196227156603412,0.22117504221258438,1.0357700948762731,Moderate
"Adams County, MS",4.75,50046.0,1.75,-4.75,1.037264322613941,-1.913280244657798,-1.9589848652617288,-2.99624918787567,Low Priority
"Adams County, ND",14.32,36562.0,8.25,-14.32,-0.7992428505888484,-1.7249178325130328,-1.7684447399895709,-0.9692018894007225,Moderate
"Adams County, OH",10.333333333333334,165905.0,11.52,-10.333333333333334,-0.03419144719263247,-0.5622875292409727,-0.5923729265727254,-0.558181479380093,Moderate
"Adams County, PA",0.0,1147566.0,289.40000000000003,-0.0,1.948801320807593,-1.0128311203344238,-1.0481253843483085,-2.9969267051559014,Low Priority
"Adams County, WA",8.333333333333334,112122.0,21.625,-8.333333333333334,0.3496136046783789,0.3142473325952739,0.2942958120465976,-0.05531779263178127,Moderate
"Adams County, WI",15.5,21099.0,1.0,-15.5,-1.025687831192745,-0.9080240755212111,-0.9421066345312462,0.08358119666149888,Moderate
"Addison County, VT",1.125,63188.0,15.7,-1.125,1.7329109791301491,-1.4123037013352917,-1.4522163850953116,-3.185127364225461,Low Priority
"Adjuntas Municipio, PR",6.2,229668.0,3.51,-6.2,0.7590056600074577,1.465648768921554,1.459008938291456,0.7000032782839982,Moderate
"Aguada Municipio, PR",10.666666666666666,393653.0,16.0,-10.666666666666666,-0.09815895583780081,-0.22577630048653566,-0.2519711927433674,-0.15381223690556656,Moderate
"Aguadilla Municipio, PR",5.333333333333333,463594.0,21.9,-5.333333333333333,0.925321182484896,0.06752820468792384,0.04472429189439896,-0.8805968905904971,Moderate
"Aguas Buenas Municipio, PR",5.0,584568.0,108.3072,-5.0,0.9892886911300646,-1.4247481862134568,-1.4648047443153596,-2.454093435445424,Low Priority
"Aibonito Municipio, PR",0.0,180593.0,39.9,-0.0,1.948801320807593,-0.5443827245251827,-0.5742611191549153,-2.523062439962508,Low Priority
"Aiken County, SC",8.25,114674.0,15.594000000000001,-8.25,0.3656054818396711,0.11092258970986608,0.08862037213696085,-0.2769851097027103,Moderate
"Ailinginae, MH",25.0,53158.0,0.0,-25.0,-2.848761827580049,-1.1509935774223028,-1.1878851781504882,1.6608766494295608,Moderate
"Ailinglaplap, MH",25.0,53158.0,0.0,-25.0,-2.848761827580049,0.37569801834567196,0.35645694720949883,3.205218774789548,Moderate
"Ailuk, MH",25.0,53158.0,0.0,-25.0,-2.848761827580049,-0.600638689918805,-0.63116747627445,2.217594351305599,Moderate
"Aimeliik State, PW",12.0,39814.0,3.0,-12.0,-0.35402899041847513,-0.2916937497932768,-0.318650733026992,0.03537825739148315,Moderate
"Airai State, PW",12.0,39814.0,3.0,-12.0,-0.35402899041847513,-0.6017066122293969,-0.6322477451482884,-0.2782187547298133,Moderate
"Aitkin County, MN",10.432432432432432,314866.0,102.7013,-10.432432432432432,-0.05320881462768231,1.8522781845089378,1.8501082900204182,1.9033171046481006,Moderate
"Alachua County, FL",1.890625,922822.0,668.5941,-1.890625,1.5859856077107775,-0.013497224737933914,-0.03723789630038828,-1.6232235040111658,Moderate
"Alamance County, NC",8.0,57370.0,17.46,-8.0,0.4135811133235476,-1.0577109289559,-1.0935240616085804,-1.507105174932128,Moderate
"Alameda County, CA",3.121212121212121,6527980.0,2382.7000000000003,-3.121212121212121,1.349832830766469,0.822544912103189,0.8084699690463406,-0.5413628617201285,Moderate
"Alamosa County, CO",7.666666666666667,136096.0,4.1,-7.666666666666667,0.47754862196871606,-1.2208436499710222,-1.2585428078875378,-1.7360914298562538,Moderate
"Albany County, NY",1.9090909090909092,194146.0,27.8,-1.9090909090909092,1.5824419531125364,0.2088635950047554,0.18769370213778352,-1.3947482509747529,Moderate
"Albany County, WY",10.333333333333334,54250.0,3.7,-10.333333333333334,-0.03419144719263247,-1.9596701238797756,-2.00591107149189,-1.9717196242992574,Moderate
"Alcona County, MI",6.5,15107.0,3.819,-6.5,0.701434902226806,-1.3281860488984305,-1.3671262237917852,-2.068561126018591,Low Priority
"Alcorn County, MS",2.2222222222222223,60795.0,4.5,-2.2222222222222223,1.522351263173136,0.19686123586912352,0.1755525802057331,-1.3467986829674028,Moderate
"Aleutians East Borough, AK",9.375,12390.0,0.0,-9.375,0.14971514016222726,0.7384665799954104,0.7234195826657611,0.5737044425035338,Moderate
"Aleutians West Census Area, AK",8.0,8213.0,1.4,-8.0,0.4135811133235476,0.1713682811899705,0.1497648939958639,-0.2638162193276837,Moderate
"Alexander County, IL",20.0,16516.0,2.2,-20.0,-1.8892491979025205,-0.11564828238824053,-0.14056995230747507,1.7486792455950455,Moderate
"Alexander County, NC",9.25,55848.0,9.5722,-9.25,0.17370295590416546,-0.3011036955892888,-0.3281694699679819,-0.5018724258721474,Moderate
"Alexandria City, VA",12.277777777777779,634858.0,96.23870000000001,-12.277777777777779,-0.40733524762278245,-1.4785219903674274,-1.5192002432006864,-1.1118649955779039,Moderate
"Alfalfa County, OK",10.0,43728.0,6.45,-10.0,0.0297760614525362,-0.7198442083947086,-0.7517511647338805,-0.7815272261864167,Moderate
"Alger County, MI",4.615384615384615,32384.0,6.010199999999999,-4.615384615384615,1.0630973549514129,-0.4606387709597875,-0.4895489771651813,-1.5526463321165942,Moderate
"Allamakee County, IA",8.333333333333334,17550.0,4.5485,-8.333333333333334,0.3496136046783789,1.0571222262189157,1.0457593003342922,0.6961456956559133,Moderate
"Allegan County, MI",5.924242424242424,4102596.0,894.3000000000001,-5.924242424242424,0.8119242353411882,0.3436182895684614,0.3240063352731385,-0.4879179000680497,Moderate
"Allegany County, MD",7.576923076923077,456203.0,179.25300000000001,-7.576923076923077,0.49477064352703076,-1.763040155362734,-1.8070078062018742,-2.301778449728905,Moderate
"Allegany County, NY",2.2093023255813953,380253.0,357.6666,-2.2093023255813953,1.5248306239733362,0.324083969394795,0.3042461730910135,-1.2205844508823227,Moderate
"Alleghany County, NC",11.333333333333334,41816.0,5.6691,-11.333333333333334,-0.22609397312813814,-0.38508228041631654,-0.4131189558602239,-0.18702498273208576,Moderate
"Alleghany County, VA",9.5,30634.0,10.265,-9.5,0.12572732442028903,-0.6769220003059587,-0.70833272040061,-0.834060044820899,Moderate
"Allegheny County, PA",7.631578947368421,1862391.0,292.2283,-7.631578947368421,0.48428204393136537,0.6116762888408679,0.5951634317447755,0.11088138781341011,Moderate
"Allen County, IN",13.70388349514563,13440517.0,2511.2626999999998,-13.70388349514563,-0.6810085370367396,1.030999522495951,1.0193345843670971,1.7003431214038367,High Priority
"Allen County, KS",13.0,43523.0,0.555,-13.0,-0.5459315163539809,0.9312801191161986,0.9184622956992282,1.464393812053209,High Priority
"Allen County, KY",15.2,149831.0,6.3962,-15.2,-0.9681170734120932,-0.8392175232226385,-0.8725045894882079,0.09561248392388533,Moderate
"Allen County, OH",14.714285714285714,264057.0,6.4578999999999995,-14.714285714285714,-0.8749072751005619,-0.3092123758512146,-0.3363718970621507,0.5385353780384112,Moderate
"Allen Parish, LA",13.272727272727273,165966.0,8.77,-13.272727272727273,-0.5982685688818461,0.33126343140356396,0.3115086389670938,0.9097772078489399,Moderate
"Allendale County, SC",13.75,53064.0,8.5,-13.75,-0.6898584108056101,0.9755451271223592,0.9632390644538393,1.6530974752594494,High Priority
"Alpena County, MI",14.333333333333334,97993.0,4.2974,-14.333333333333334,-0.8018015509346552,-0.47917423784528995,-0.5082987380231345,0.2935028129115207,Moderate
"Alpine County, CA",5.0,4021.0,0.2,-5.0,0.9892886911300646,-0.18565897666381712,-0.21139006076630507,-1.2006787518963695,Moderate
"Amador County, CA",7.5,142367.0,18.86,-7.5,0.5095323762913004,-1.1063349740060282,-1.1427102635137145,-1.652242639805015,Low Priority
"Amelia County, VA",13.0,17048.0,1.532,-13.0,-0.5459315163539809,-1.1962066240806708,-1.2336209461103953,-0.6876894297564144,Moderate
"Amherst County, VA",14.25,45506.0,7.5742,-14.25,-0.785809673773363,0.812525822394198,0.7983350457008223,1.5841447194741853,High Priority
"Amite County, MS",21.5,98924.0,2.075,-21.5,-2.177102986805779,1.356240028570823,1.3483352913842608,3.5254382781900397,High Priority
"Anasco Municipio, PR",11.0,244855.0,19.0,-11.0,-0.16212646448296947,-0.07201012158033385,-0.09642727791554392,0.06569918656742554,Moderate
"Anchorage Borough, AK",3.9444444444444446,1036394.0,6.414,-3.9444444444444446,1.1918524685064316,1.0035328978920242,0.9915504100552214,-0.20030205845121019,Moderate
